Site ,VES,D1,D2,D3,D4,D5,D6,D7,D8,D9* (10),T1,T2,T3,T4,T5,T6,T7,T8,T9,Latitude (21),Longitude,HII,Standard HII,Frag Name,Forest Frag Code,Forest Type,Forest Type Code,DC,Wetland,Code,WPU,WetForest,WetFor,Simple,Date,Date1,Date2,StanDate,Julian1,"Avg,STD"
Cockaponset State Forest (CSF 5),-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,41.38,-72.49,26,0.54,Interior,7,Oak/Hickory Group,1,0,Freshwater Forested/Shrub Wetland,4,1,9,Oak Forested,1,4/25/2016,4/26/2016,-,-0.523150536,16116,
Cockaponset State Forest (CSF 6),-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,41.43,-72.54,18,-0.28,Interior,7,White/Red/Jack Pine Group,2,1,Freshwater Emergent Wetland,3,1,8,Pine Emergent,2,4/25/2016,-,-,-0.523150536,16116,
Cockaponset State Forest (CSF 7),-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,41.43,-72.54,18,-0.28,Interior,7,White/Red/Jack Pine Group,2,1,Freshwater Emergent Wetland,3,1,8,Pine Emergent,2,4/25/2016,-,-,-0.523150536,16116,
Cockaponset State Forest (CSF 8),-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,41.43,-72.53,18,-0.28,Interior,7,White/Red/Jack Pine Group,2,1,Freshwater Forested/Shrub Wetland,4,1,12,Pine Forested,2,4/25/2016,-,-,-0.523150536,16116,
Cockaponset State Forest (CSF 9),-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,41.43,-72.53,18,-0.28,Interior,7,White/Red/Jack Pine Group,2,1,Freshwater Forested/Shrub Wetland,4,1,12,Pine Forested,2,4/25/2016,-,-,-0.523150536,16116,
Cockaponset State Forest (Hackney Marsh),-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,41.43,-72.55,18,-0.28,Interior,7,Oak/Hickory Group,1,0,Freshwater Forested/Shrub Wetland,4,1,9,Oak Forested,1,4/25/2016,4/26/2016,-,-0.523150536,16116,
Colis P. Huntington SP (Lily Pond),-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41.34777,-73.36008,24,0.33,Interior,7,Oak/Hickory Group,1,0,Freshwater Pond,1,2,1,Oak Pond,3,5/26/2017,-,-,2.127357187,17146,
Colleen's Pond,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42.62851,-72.51579,35,1.46,Unlabeled,1,Maple/Beech/Birch Group,3,0,Freshwater Pond,1,2,4,Maple Pond,3,7/17/2017,-,-,2.261169228,17198,
Conservation Island site 1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41.30648,-75.20436,14,-0.69,Interior,7,Oak/Hickory Group,1,0,Lake,5,2,1,Oak Pond,3,6/9/2016,-,-,-0.407351655,16161,
Conservation Island site 2,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41.306196,-75.204835,14,-0.69,Interior,7,Oak/Hickory Group,1,0,Lake,5,2,1,Oak Pond,3,6/9/2016,-,-,-0.407351655,16161,
Cummins Pond WMA (Cummins Pond),-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,43.785083,-72.011943,11,-1.00,Interior,7,White/Red/Jack Pine Group,2,1,Lake,5,2,2,Pine Pond,4,7/29/2016,-,-,-0.278686232,16211,
Cunningham Falls State Park (Hunting Creek Lake),-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,39.626006,-77.459955,14,-0.69,Perforated,6,Oak/Pine Group,1,1,Lake,5,2,1,Oak Pond,4,6/23/2016,-,-,-0.371325336,16175,
